location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note
"Papillion, NE",677.8,129.6,548.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8087931543228092,548.1999999999999,-1.1368683772161605e-13,,not specified in location table
"Pflugerville, TX",0.4,0.3,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.25,0.1,2.7755575615628914e-17,,air-cooled
"Phoenix, AZ",0.5,0.4,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.2,0.0999999999999999,-2.7755575615628914e-17,,air-cooled
"Quilicura, Chile",278.2,135.2,143.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5140186915887851,143.0,0.0,,not specified in location table
"Red Oak, TX",67.0,16.6,50.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7522388059701492,50.4,0.0,,not specified in location table
"San Bernardo, Chile",0.9,0.8,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1111111111111111,0.0999999999999999,-2.7755575615628914e-17,,air-cooled
"St. Ghislain, Belgium",714.4,263.6,450.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6310190369540873,450.7999999999999,-5.684341886080803e-14,,not specified in location table
"Sterling, VA",258.4,58.6,199.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7732198142414862,199.8,-2.8421709430404014e-14,,not specified in location table
"Storey County, NV",66.7,60.0,6.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1004497751124437,6.700000000000003,2.6645352591003757e-15,,air-cooled
"Sydney, Australia",1.4,1.2,0.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1428571428571428,0.1999999999999999,-5.551115123125783e-17,,air-cooled
"Wilmer, TX",2.6,2.3,0.3,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1153846153846153,0.3000000000000002,2.775557561562891e-16,,air-cooled
"Winschoten, Netherlands",0.1,0.05,0.05,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5,0.05,0.0,,not specified in location table
Other data center locations,1020.3,101.1,919.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,False,0.9009114966186416,919.2,-1.1368683772161605e-13,,not specified in location table
