location_reported,data_year,estimated_consumption,discharge,withdrawal,balance_error_mgd,estimated_consumption_fraction,discharge_fraction,highlight,consumption_value_status,source_ids,source_locators,scientific_boundary
"New Haven, IN",2025,0.1035616440800357,0.0668493151884783,0.1704109592685141,1.1102230246251563e-16,0.6077170419354022,0.3922829580645972,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Mesa, AZ",2025,0.0265753426890741,0.0265753426890741,0.0531506853781483,9.714451465470121e-17,0.4999999999999991,0.4999999999999991,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Middenmeer, Netherlands",2025,0.0254794516614723,0.0117808218511423,0.0372602744053582,8.927436012662325e-10,0.6838235109134955,0.3161764651268419,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Hamina, Finland",2025,0.0010958901348581,0.0106849317162841,0.0117808218511423,1.006139616066548e-16,0.0930232329038945,0.906976767096097,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Hanau, Germany",2025,0.0052054792565059,0.0041095891216477,0.0093150683781536,0.0,0.5588235153178459,0.4411764846821541,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Wilmer, TX",2025,0.0008219178243295,0.0063013702841077,0.0071232881084372,8.673617379884035e-19,0.115384610564323,0.8846153894356769,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Sydney, Australia",2025,0.0005479455138009,0.0032876712973181,0.0038356168111191,9.97465998686664e-17,0.142857209357425,0.8571427906425491,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Frankfurt, Germany",2025,0.0005479455138009,0.0027397257835172,0.0032876712973181,0.0,0.1666667571809516,0.8333332428190484,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"San Bernardo, Chile",2025,0.0002739723105286,0.00219178116246,0.0024657534729886,-4.336808689942019e-19,0.1111109904253865,0.8888890095746136,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Phoenix, AZ",2025,0.0002739723105286,0.0010958901348581,0.0013698633381304,8.927437001454707e-10,0.1999997393189013,0.799999608978352,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Dublin, Ireland",2025,0.0002739723105286,0.0010958901348581,0.0013698633381304,8.927437001454707e-10,0.1999997393189013,0.799999608978352,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Pflugerville, TX",2025,0.0002739723105286,0.0008219178243295,0.0010958901348581,0.0,0.2499997963427921,0.7500002036572079,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Montreal, Canada",2025,0.0002739723105286,0.0005479455138009,0.0008219178243295,0.0,0.3333329712761732,0.6666670287238269,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Winschoten, Netherlands",2025,0.0001369861552643,0.0001369861552643,0.0002739723105286,0.0,0.5,0.5,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
