location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Lockbourne, OH",2025,460.8,101.3,359.5,0.7801649305555556,39.8089,-82.9688,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Mayes County, OK",2025,1396.7,315.3,1081.4,0.7742535977661631,36.303,-95.235,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Mesa, AZ",2025,19.4,9.7,9.7,0.5,33.4152,-111.8315,5.0,Extremely High (>80%),Extremely high,True,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Midlothian, TX",2025,263.6,43.4,220.2,0.8353566009104703,32.4824,-96.9944,0.7935737774316687,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Montgomery County, TN",2025,499.5,74.8,424.7,0.8502502502502503,36.496,-87.385,1.1240926164413865,Low - Medium (10-20%),Low-medium,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"New Albany, OH",2025,1008.1,172.4,835.7,0.8289852197202658,40.0812,-82.8088,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"New Haven, IN",2025,62.2,24.4,37.8,0.607717041800643,41.0706,-85.0144,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Omaha, NE",2025,241.8,57.9,183.9,0.760545905707196,41.2565,-95.9345,0.1278995263148407,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Papillion, NE",2025,677.8,129.6,548.2,0.8087931543228092,41.1544,-96.0422,0.1278995263148407,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Pflugerville, TX",2025,0.4,0.3,0.1,0.25,30.4394,-97.62,2.778739406818983,Medium - High (20-40%),Medium-high,False,air-cooled,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Phoenix, AZ",2025,0.5,0.4,0.1,0.2,33.4484,-112.074,5.0,Extremely High (>80%),Extremely high,True,air-cooled,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Red Oak, TX",2025,67.0,16.6,50.4,0.7522388059701492,32.5176,-96.8044,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Sterling, VA",2025,258.4,58.6,199.8,0.7732198142414862,39.0067,-77.4291,0.158307520864789,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Storey County, NV",2025,66.7,60.0,6.7,0.1004497751124437,39.45,-119.53,3.082519184213296,High (40-80%),High,True,air-cooled,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"The Dalles, OR",2025,654.3,185.3,469.0,0.7167965764939631,45.5946,-121.1787,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Wilmer, TX",2025,2.6,2.3,0.3,0.1153846153846153,32.589,-96.6853,1.849821532281143,Low - Medium (10-20%),Low-medium,False,air-cooled,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
