location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Jackson County, AL",2025,191.0,17.4,173.6,0.9089005235602092,34.779,-85.999,0.3123497093174933,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lancaster, OH",2023,15.4,7.7,7.7,0.5,39.7137,-82.5993,0.0,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lancaster, OH",2024,207.4,106.3,101.1,0.487463837994214,39.7137,-82.5993,0.0,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lancaster, OH",2025,307.1,171.3,135.8,0.4422012373819602,39.7137,-82.5993,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Leesburg, VA",2022,155.2,26.3,128.9,0.8305412371134021,39.1157,-77.5636,0.158307520864789,Low (<10%),Low,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Leesburg, VA",2023,246.8,73.6,173.2,0.7017828200972447,39.1157,-77.5636,0.158307520864789,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Leesburg, VA",2024,246.7,55.1,191.6,0.776651803810296,39.1157,-77.5636,0.158307520864789,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Leesburg, VA",2025,238.1,47.4,190.7,0.8009239815203696,39.1157,-77.5636,0.158307520864789,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lenoir, NC",2022,349.5,29.0,320.5,0.9170243204577968,35.914,-81.5389,2.942697498431475,Medium - High (20-40%),Medium-high,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lenoir, NC",2023,358.1,21.3,336.8,0.940519407986596,35.914,-81.5389,2.942697498431475,Medium - High (20-40%),Medium-high,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lenoir, NC",2024,351.7,23.9,327.8,0.9320443559852148,35.914,-81.5389,2.942697498431475,Medium - High (20-40%),Medium-high,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lenoir, NC",2025,378.3,34.0,344.3,0.9101242400211472,35.914,-81.5389,2.942697498431475,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
