location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note,source_id,source_url,source_locator,withdrawal_status,discharge_status,consumption_status,known_source_issue,latitude,longitude,name_0,macro_region,bws_raw,bws_score,bws_label,screening_dataset,screening_baseline_period,screening_caveat,aqueduct_source_id,aqueduct_source_url,aqueduct_source_locator
"Middenmeer, Netherlands",13.6,4.3,9.3,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6838235294117648,9.3,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Midlothian, TX",263.6,43.4,220.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8353566009104703,220.2,2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,32.4824,-96.9944,United States,North America,0.0866681477670511,0.7935737774316687,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Montgomery County, TN",499.5,74.8,424.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8502502502502503,424.7,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.496,-87.385,United States,North America,0.1089822073084819,1.1240926164413865,Low - Medium (10-20%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Montreal, Canada",0.3,0.2,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.3333333333333333,0.0999999999999999,-2.7755575615628914e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"New Albany, OH",1008.1,172.4,835.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8289852197202658,835.7,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,40.0812,-82.8088,United States,North America,0.3566046586726747,2.8343255504112053,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"New Haven, IN",62.2,24.4,37.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.607717041800643,37.8,7.105427357601002e-15,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.0706,-85.0144,United States,North America,0.0112080029390172,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Omaha, NE",241.8,57.9,183.9,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.760545905707196,183.9,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.2565,-95.9345,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Papillion, NE",677.8,129.6,548.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8087931543228092,548.1999999999999,-1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.1544,-96.0422,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Pflugerville, TX",0.4,0.3,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.25,0.1,2.7755575615628914e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,30.4394,-97.62,United States,North America,0.3431262278790391,2.778739406818983,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Phoenix, AZ",0.5,0.4,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.2,0.0999999999999999,-2.7755575615628914e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.4484,-112.074,United States,North America,2.482063336766467,5.0,Extremely High (>80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Quilicura, Chile",278.2,135.2,143.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5140186915887851,143.0,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Red Oak, TX",67.0,16.6,50.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7522388059701492,50.4,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,32.5176,-96.8044,United States,North America,0.0401160977827493,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"San Bernardo, Chile",0.9,0.8,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1111111111111111,0.0999999999999999,-2.7755575615628914e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"St. Ghislain, Belgium",714.4,263.6,450.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6310190369540873,450.7999999999999,-5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Sterling, VA",258.4,58.6,199.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7732198142414862,199.8,-2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0067,-77.4291,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Storey County, NV",66.7,60.0,6.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1004497751124437,6.700000000000003,2.6645352591003757e-15,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.45,-119.53,United States,North America,0.4235461525358548,3.082519184213296,High (40-80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Sydney, Australia",1.4,1.2,0.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1428571428571428,0.1999999999999999,-5.551115123125783e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Wilmer, TX",2.6,2.3,0.3,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1153846153846153,0.3000000000000002,2.775557561562891e-16,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,32.589,-96.6853,United States,North America,0.1802277961724219,1.849821532281143,Low - Medium (10-20%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Winschoten, Netherlands",0.1,0.05,0.05,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5,0.05,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
