location,location_label,architecture_id,month,daily_records,water_years,mean_withdrawal_ml_day,mean_consumption_ml_day,flow_q10_ml_day,flow_median_ml_day,pressure_p50_pct,pressure_p90_pct,pressure_p95_pct,pressure_p99_pct,architecture_label,hydrology_source_id,utility_source_id,model_source_id
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,3,930,30,17.070105170738085,17.070105170738085,38631.427864215555,67036.16994803712,0.02546402215993235,0.04418725386935226,0.04764235255919464,0.05613673469528097,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,4,900,30,17.322878630919362,17.322878630919362,65788.41641980724,81715.62322132992,0.021198980008999842,0.026331231544386265,0.02798600522927252,0.032932368944213704,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,5,930,30,17.51495985985757,17.51495985985757,69238.08793903104,92969.8707308544,0.018839393582210057,0.025296712230529404,0.026373157482562855,0.028866812746934763,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,6,900,30,17.81615391222984,17.81615391222984,73862.11572011828,99086.3095947264,0.017980439462424037,0.024120851911564437,0.025201876235056868,0.02619452511612135,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,7,930,30,18.099548338074445,18.099548338074445,69458.27973813044,89544.66496708608,0.020212871805067666,0.026058187265880706,0.026999675476842212,0.02935679000259828,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,8,930,30,17.959874001573567,17.959874001573567,67770.14261170177,85263.15776237569,0.021064093146427085,0.02650116011187567,0.02770121264524363,0.02971992449793345,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,9,900,30,17.738677344656903,17.738677344656903,70706.03326636032,87587.40453064704,0.020252543661628996,0.025087926058350103,0.026858364040117558,0.03295791681746253,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,10,930,30,17.354214119808915,17.354214119808915,64320.47109247795,88076.7196397568,0.01970352005704743,0.026980891918015382,0.040098877194749596,0.052320276519365695,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,11,900,30,17.15337428313222,17.15337428313222,36943.29073778688,84896.17143054336,0.020205121142790307,0.0464316360036307,0.04937448617287489,0.052715616816152146,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,12,930,30,16.817773013971404,16.817773013971404,37921.920956006405,50154.7986837504,0.033531732666330444,0.044348420623211225,0.046134263064414364,0.05474089681599288,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,1,930,30,0.0,0.0,1140.104204225741,2341.372797090202,0.0,0.0,0.0,0.0,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,2,848,30,0.0,0.0,1122.2442027432346,1864.2905657081856,0.0,0.0,0.0,0.0,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,3,930,30,0.00140253777489,0.00140253777489,1137.657628680192,1651.43849324544,5.9449903900984165e-05,8.62980581918981e-05,9.300880843920164e-05,0.00011636042574318232,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,4,900,30,0.1210037447384646,0.1210037447384646,988.1718628471604,1496.0809461030913,0.005661637371109474,0.008571653507234935,0.009160180160770158,0.009808458040403414,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
