location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note,source_id,source_url,source_locator,withdrawal_status,discharge_status,consumption_status,known_source_issue,latitude,longitude,name_0,macro_region,bws_raw,bws_score,bws_label,screening_dataset,screening_baseline_period,screening_caveat,aqueduct_source_id,aqueduct_source_url,aqueduct_source_locator
"Sterling, VA",74.9,19.5,55.4,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7396528704939919,55.400000000000006,7.105427357601002e-15,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0067,-77.4291,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Storey County, NV",2.1,1.9,0.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.0952380952380952,0.2000000000000001,1.6653345369377348e-16,,air-cooled,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.45,-119.53,United States,North America,0.4235461525358548,3.082519184213296,High (40-80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Ashburn, VA",57.9,3.3,54.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.9430051813471504,54.6,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0438,-77.4874,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Berkeley County, SC",847.2,83.8,763.4,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.9010859301227572,763.4000000000001,1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.195,-80.0088,United States,North America,0.3601770742051534,2.8487063545280726,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Council Bluffs, IA",1334.9,354.8,980.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7342123005468574,980.1,1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.2619,-95.8608,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"The Dalles, OR",383.7,81.3,302.4,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7881157154026583,302.4,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,45.5946,-121.1787,United States,North America,0.0059433689005362,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Douglas County, GA",418.8,73.2,345.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8252148997134671,345.6,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.729,-84.745,United States,North America,0.2660305124910562,2.4115917257827646,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Henderson, NV",273.8,115.0,158.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.5799853907962016,158.8,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.0395,-114.9817,United States,North America,0.0795599727070787,0.6701146863701557,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Jackson County, AL",159.8,17.6,142.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8898623279098872,142.20000000000002,2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,34.779,-85.999,United States,North America,0.0620864225029411,0.3123497093174933,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lancaster, OH",15.4,7.7,7.7,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.5,7.7,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.7137,-82.5993,United States,North America,0.002409480631486,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Leesburg, VA",246.8,73.6,173.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7017828200972447,173.20000000000002,2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.1157,-77.5636,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lenoir, NC",358.1,21.3,336.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.940519407986596,336.8,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,35.914,-81.5389,United States,North America,0.3844237576576458,2.942697498431475,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lockbourne, OH",31.8,8.5,23.3,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7327044025157233,23.3,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.8089,-82.9688,United States,North America,0.3566046586726747,2.8343255504112053,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Mayes County, OK",1037.1,222.0,815.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7859415678333816,815.0999999999999,-1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.303,-95.235,United States,North America,0.0067287919757808,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
