location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_id,source_url,source_locator,electricity_status,withdrawal_status,intensity_status,previous_year,previous_electricity_mwh,previous_withdrawal_ml,electricity_change_fraction,withdrawal_change_fraction,electricity_log2_ratio,withdrawal_log2_ratio,derived_status
Henrico (VA),2024,948859,92.0,Meta,0.0969585575939101,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,805061.0,42.0,0.1786175209083536,1.1904761904761907,0.23709561805229384,1.1312445332782528,within-site consecutive annual change
Huntsville (AL),2022,368841,104.0,Meta,0.2819643152469492,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,85286.0,39.0,3.3247543559318062,1.6666666666666665,2.1126181906584036,1.4150374992788437,within-site consecutive annual change
Huntsville (AL),2023,614198,152.0,Meta,0.2474771979068639,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,368841.0,104.0,0.6652107547696704,0.46153846153846145,0.7357047812719871,0.5474877953024933,within-site consecutive annual change
Huntsville (AL),2024,865803,209.0,Meta,0.2413944049627917,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,614198.0,152.0,0.4096480288115558,0.375,0.49533498498093537,0.45943161863729726,within-site consecutive annual change
Los Lunas (NM),2020,571000,140.0,Meta,0.2451838879159369,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,289000.0,92.0,0.9757785467128028,0.5217391304347827,0.982421252862164,0.6057210608879536,within-site consecutive annual change
Los Lunas (NM),2021,717932,153.0,Meta,0.2131121053247383,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,571000.0,140.0,0.25732399299474595,0.09285714285714275,0.330356457918938,0.12810482574768517,within-site consecutive annual change
Los Lunas (NM),2022,929488,161.0,Meta,0.1732136401976141,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,717932.0,153.0,0.2946741474122898,0.05228758169934644,0.3725890360839146,0.07352903542196526,within-site consecutive annual change
Los Lunas (NM),2023,1110100,283.0,Meta,0.2549319881091793,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,929488.0,161.0,0.1943134284681458,0.7577639751552796,0.2561814985437123,0.8137413647172654,within-site consecutive annual change
Los Lunas (NM),2024,1143067,252.0,Meta,0.220459518120985,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,1110100.0,283.0,0.029697324565354455,-0.10954063604240283,0.042220325252438254,-0.16737831933196584,within-site consecutive annual change
New Albany (OH),2020,270000,35.0,Meta,0.1296296296296296,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,38000.0,33.0,6.105263157894737,0.06060606060606055,2.8288880836072456,0.08488889758651294,within-site consecutive annual change
New Albany (OH),2021,511414,121.0,Meta,0.2365989198574931,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,270000.0,35.0,0.894125925925926,2.4571428571428573,0.9215322477385606,1.789580220329628,within-site consecutive annual change
