first_location,first_architecture,first_month,first_consumption_ml_day,first_pressure_p95_pct,second_location,second_architecture,second_month,second_consumption_ml_day,second_pressure_p95_pct,consumption_difference_pct,pressure_ratio,hydrology_source_ids,model_source_id
Council Bluffs,Water-cooled evaporative,6,17.81615391222984,0.0252018762350568,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,1.265232316538976,87.59024731757852,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,7,18.187990649858357,0.7582102707736409,Council Bluffs,Water-cooled evaporative,8,17.959874001573567,0.0277012126452436,1.2542157771923306,27.37101369834177,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,10,17.631360911378515,0.7507609580400378,Council Bluffs,Water-cooled evaporative,8,17.959874001573567,0.0277012126452436,1.8291503056550924,27.10209721338485,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,Seattle,Water-cooled evaporative,11,17.292650708839894,1.2495704990225598,2.7461243673055558,27.085519872244735,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,Seattle,Water-cooled evaporative,11,17.292650708839894,1.2495704990225598,2.9138032692158555,27.031843470036275,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,10,17.631360911378515,0.7507609580400378,Council Bluffs,Water-cooled evaporative,4,17.322878630919362,0.0279860052292725,1.749622629867848,26.826299498249394,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,4,17.354130306973452,1.3137358722983885,1.1568198480137195,26.607585701218387,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,Seattle,Water-cooled evaporative,11,17.292650708839894,1.2495704990225598,2.5699744598078405,26.55541735928519,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,Seattle,Water-cooled evaporative,12,17.166734198946635,1.2174132739277843,2.0327756050224353,26.38848424278477,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,Seattle,Water-cooled evaporative,12,17.166734198946635,1.2174132739277843,2.2016844171688117,26.33618918252496,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,Seattle,Water-cooled evaporative,11,17.292650708839894,1.2495704990225598,1.2869371032171764,26.228144327465678,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,Seattle,Water-cooled evaporative,2,17.173377966103345,1.2003307510335863,2.070675628486316,26.018205804168623,USGS_06610000; USGS_12117500,LEI_MASANET_2022
